# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
100.497083,6.345000,6.370,-0.050
99.502500,-61.533056,6.180,0.620
100.485000,-9.167222,5.190,1.530
101.558750,59.441667,4.870,0.080
101.052500,36.109722,6.310,0.060
100.982917,25.131111,2.980,1.400
100.777083,3.033333,6.190,1.370
100.308750,-40.349722,6.120,-0.140
100.205417,-47.674722,6.650,1.580
101.706250,57.169167,5.350,0.960
100.997083,13.227778,4.490,1.160
100.911250,3.932222,5.900,-0.020
101.189583,28.970833,5.440,1.450
100.690833,-22.449167,6.130,0.340
100.568333,-38.398611,6.290,0.340
101.684583,43.577500,5.250,0.560
101.322500,12.895556,3.360,0.430
102.053750,55.704444,6.330,0.000
102.051250,55.704444,6.280,0.470
101.915000,48.789444,5.220,1.120
100.847083,-39.193333,6.300,0.260
101.475833,12.693611,6.460,0.000
102.737917,67.571944,5.140,-0.170
101.287083,-16.716111,-1.460,0.000
101.118333,-31.070556,5.200,-0.120
101.216250,-27.341389,6.450,0.540
101.635000,8.587222,5.930,-0.170
101.347083,-23.461944,6.050,1.200
101.260000,-30.586111,6.540,-0.110
101.497083,-14.796111,5.320,0.070
101.847917,18.193333,6.200,0.070
101.345000,-31.793611,5.920,0.480
101.380417,-30.948889,5.800,-0.190
101.662500,-10.107222,5.660,-0.050
101.832500,8.037222,4.770,1.400
101.712917,-14.425833,5.290,-0.040
100.240833,-71.775556,6.510,1.110
101.965000,2.412222,4.470,1.110
101.513750,-39.540000,6.620,-0.130
101.904583,-8.998333,5.070,1.800
101.756250,-21.015556,6.080,-0.190
101.550417,-37.775556,6.210,-0.130
103.425833,68.888333,5.120,-0.130
102.422083,32.606667,5.710,1.290
101.358750,-52.201111,6.570,1.080
102.079167,-1.319167,5.750,0.280
101.473750,-52.410000,5.800,1.530
102.691250,41.781389,5.020,1.270
102.265417,1.001944,6.150,-0.130
101.839167,-37.929722,5.260,-0.080
102.457500,16.202778,5.850,-0.130
103.271250,59.448611,5.330,0.650
102.318333,-2.271944,5.740,-0.100
102.240833,-15.144722,5.390,-0.100
101.720000,-51.265833,5.400,1.340
101.672917,-54.694722,6.460,0.860
102.606250,13.413333,5.650,1.340
101.827917,-55.540000,5.610,1.520
105.016667,76.977500,4.550,1.360
102.433333,-24.075833,6.330,0.040
102.887500,21.761111,5.270,-0.020
102.707917,-0.540833,5.770,0.390
100.903333,-73.118056,6.370,0.960
103.281667,44.839444,6.260,0.210
103.000000,23.601667,5.650,1.450
102.676250,-8.041111,6.290,0.000
102.591250,-17.083889,5.790,1.440
101.233750,-70.433889,6.110,1.330
102.525000,-27.333889,7.040,-0.180
102.460417,-32.508611,3.960,-0.230
103.256250,38.869167,6.120,0.370
103.197083,33.961111,3.600,0.100
103.305833,38.438056,6.300,0.490
103.264167,35.788611,6.010,1.450
102.913750,3.041667,6.380,0.040
102.653750,-25.778056,6.330,-0.180
102.597083,-31.706111,5.700,0.140
102.490833,-45.450000,6.550,1.510
103.487500,38.505000,6.480,-0.050
102.477500,-46.614722,5.140,0.450
102.718333,-34.367222,4.990,1.380
102.047500,-61.941389,3.270,0.210
103.205833,8.380278,5.770,0.260
103.095417,-5.316111,6.300,0.990
102.484167,-50.614722,2.930,1.200
102.463750,-53.622222,4.400,0.920
103.343750,10.996389,6.240,0.970
103.813333,45.826389,6.340,0.940
103.811250,43.910000,6.130,0.320
102.926250,-36.230278,5.960,0.180
100.011250,-80.813611,5.640,0.200
104.318750,58.422500,4.350,0.850
104.305000,57.563333,6.050,1.490
102.504583,-60.249167,6.110,0.460
102.886667,-48.292500,6.420,1.210
103.661250,13.177778,4.650,0.300
103.328333,-19.032778,5.640,0.280
103.340417,-18.933333,6.140,0.150
103.250417,-26.957500,6.400,1.530
104.134583,46.274167,5.870,-0.060
103.827500,25.375556,5.730,0.570
103.535417,-5.852500,6.410,0.170
103.387083,-20.224167,4.830,-0.210
103.602500,-1.126944,5.450,0.180
104.233333,46.705000,5.860,1.080
103.547500,-12.038611,4.070,1.430
103.165417,-42.504444,6.520,0.420
103.391250,-28.539722,6.040,0.710
103.675417,-1.756389,6.210,0.560
103.480417,-24.539167,6.210,0.010
103.196250,-43.975833,6.460,-0.100
103.532917,-24.183889,3.870,1.730
105.339583,70.808056,5.680,1.330
103.745000,-2.803611,6.040,1.100
103.554167,-23.928333,6.910,-0.280
103.894167,8.324722,6.290,0.040
104.404583,45.094167,4.900,0.030
104.252083,33.681111,5.890,0.880
103.195417,-54.090000,6.570,1.080
103.761250,-20.404722,5.740,0.080
104.107500,9.956389,5.920,-0.080
103.905833,-20.136389,4.680,0.370
103.611250,-42.365556,6.320,2.240
103.189167,-59.341111,6.410,0.180
104.027500,-14.043611,5.000,1.180
103.509583,-50.611667,6.260,0.990
103.945000,-22.941389,5.300,-0.180
104.034167,-17.054167,4.370,-0.070
104.357083,11.907500,6.270,0.340
103.978333,-31.790000,6.360,0.000
104.250417,-8.178889,6.340,0.640
104.761667,38.052222,6.000,1.230
104.697500,26.081111,6.100,0.460
102.862500,-70.963333,5.400,-0.110
104.311667,-22.203333,6.610,-0.190
104.190417,-35.341667,6.290,1.290
104.866250,25.914167,6.400,-0.110
104.662500,7.621944,6.270,0.110
104.391250,-24.630556,5.460,0.360
104.066667,-48.721111,4.950,1.690
115.127083,87.020000,5.070,1.630
104.737500,3.602222,5.970,1.060
104.426667,-27.537500,6.230,-0.140
104.323333,-35.507500,6.230,0.460
104.833750,7.316944,6.350,-0.110
104.531667,-27.164722,6.370,-0.190
105.065833,16.078889,5.680,1.660
104.649583,-25.413889,5.590,-0.160
106.465833,70.731944,6.500,0.000
104.656250,-28.972222,1.500,-0.210
104.604583,-34.111667,5.060,-0.160
105.321667,32.414444,6.590,0.270
104.682500,-30.997778,6.420,-0.140
105.075000,-5.366944,6.300,0.570
104.913750,-21.603333,6.260,-0.150
105.098750,-8.406944,5.960,-0.080
105.033750,-20.158889,6.310,-0.150
104.674167,-45.768056,6.220,0.000
105.163750,-9.203056,6.490,0.210
105.080417,-22.119444,6.530,-0.170
105.422500,4.818056,6.630,0.060
105.603333,24.215278,5.180,0.940
105.606250,17.755556,5.940,1.630
105.572500,15.336111,5.740,0.000
105.479167,5.557500,6.590,-0.020
104.665000,-55.729444,6.270,1.160
105.639583,16.674167,5.820,1.680
105.470417,-1.345556,6.170,1.280
105.177500,-28.489444,6.270,0.450
104.650833,-56.394722,6.450,0.390
105.485000,-5.722222,5.200,1.680
105.274583,-25.215278,5.630,-0.170
105.207500,-33.465278,6.400,1.050
106.505417,59.801944,6.440,0.000
105.876667,29.337222,5.930,0.600
106.415833,52.758056,6.120,0.110
106.287500,47.775000,6.380,-0.040
105.429583,-27.934722,3.470,1.730
105.824583,9.138333,5.970,0.120
105.728333,-4.239167,4.990,-0.200
105.908333,10.951667,5.130,1.390
106.027083,20.570278,3.790,0.790
105.965000,12.594444,5.980,1.580
105.214583,-51.402500,5.140,1.610
105.756250,-23.833333,3.020,-0.080
106.084167,1.488333,6.570,0.010
106.021667,-5.323611,5.620,1.290
105.988750,-10.124167,6.450,-0.080
105.939583,-15.633333,4.120,-0.120
105.565000,-43.404167,6.430,-0.040
106.326667,22.637222,6.020,-0.030
106.548333,34.473889,5.550,0.910
105.271250,-58.940000,6.020,0.300
104.960417,-67.916111,5.170,1.400
106.412917,9.185833,5.780,1.520
106.196250,-22.032222,6.090,1.220
106.842917,34.009444,5.910,1.510
106.011667,-42.337222,5.200,0.200
105.988750,-43.608056,5.540,0.640
105.995000,-43.611667,6.790,0.800
106.854167,28.177222,6.480,-0.090
106.457083,-10.661111,6.490,-0.050
106.839167,22.703611,7.680,2.210
105.973750,-49.583889,4.930,0.130
107.055417,33.832222,6.280,1.340
105.815000,-59.178056,5.500,-0.110
107.151250,37.445000,6.160,1.210
106.776667,4.910278,6.110,-0.130
106.383333,-34.777778,6.140,0.370
106.669583,-11.294167,5.390,0.050
106.649583,-12.393889,6.480,-0.100
106.502500,-30.655556,6.340,-0.160
108.492083,71.816667,6.350,1.120
106.956250,7.471111,5.750,1.180
106.076250,-56.749722,5.170,-0.040
107.091667,15.930833,5.440,1.030
106.509583,-38.382778,6.110,0.700
106.717917,-24.960556,6.080,1.340
106.318750,-50.360278,6.460,0.000
106.750417,-26.657778,6.620,-0.170
104.143333,-79.420278,5.450,0.050
106.844167,-23.840278,5.710,-0.100
106.779583,-40.893333,5.790,-0.170
107.527917,21.246944,6.430,0.890
107.097917,-26.393333,1.840,0.680
107.334583,-10.347222,6.210,0.030
107.205417,-24.044167,6.650,-0.190
107.913750,39.320556,4.900,1.450
107.785000,30.245278,4.410,1.260
106.805417,-51.967778,5.960,1.000
107.388333,-16.234722,6.030,0.060
107.846250,26.856667,5.780,0.100
107.557083,-4.237222,4.920,1.030
107.212917,-39.655833,4.830,-0.180
108.347500,51.428889,5.470,1.670
107.428750,-25.231111,5.690,-0.160
107.538750,-18.685278,6.230,0.400
108.110000,24.128333,5.850,0.360
107.848333,-0.301944,5.450,0.290
107.580833,-27.491389,5.460,1.000
111.341250,81.257500,6.310,-0.040
107.963750,5.654722,6.090,-0.020
108.204167,27.224722,6.430,0.490
106.558750,-68.837222,6.470,1.040
108.030833,5.474722,6.160,1.140
107.966250,-0.492778,4.150,-0.010
108.978750,59.637500,5.200,1.070
107.923333,-20.883056,5.840,-0.040
108.342917,16.158889,5.000,1.660
108.050833,-25.942500,5.920,-0.170
107.697917,-48.932222,5.140,1.240
108.017083,-30.821667,6.100,0.270
108.958750,47.240000,5.580,0.580
108.610833,24.710833,6.890,-0.030
108.280000,-11.251389,5.780,1.510
108.100417,-27.474167,6.590,0.190
108.674583,24.885000,5.820,1.560
108.107083,-36.544444,5.960,-0.140
108.065833,-40.498889,5.310,0.060
108.635833,12.115833,5.620,1.010
108.583333,3.111389,5.350,1.190
108.349583,-22.673333,6.010,1.480
108.545833,-3.901389,5.750,1.580
108.564583,-9.947500,5.900,1.520
108.451250,-22.906389,6.360,-0.210
108.401250,-27.356389,6.120,-0.230
107.175833,-70.497222,5.690,0.400
107.187083,-70.498889,3.780,1.040
109.390417,52.130833,5.920,1.260
108.987917,27.897500,5.710,1.630
108.617500,-10.316667,6.030,-0.180
108.140000,-46.759444,4.490,0.320
108.446250,-31.083889,6.600,-0.170
112.768333,82.411389,4.960,1.660
108.488333,-30.340000,6.330,-0.200
108.830417,-0.161389,6.410,0.900
108.563333,-26.352500,4.660,-0.190
108.305833,-45.183056,4.890,-0.020
108.914167,7.977778,5.820,1.600
108.385000,-44.639722,5.100,1.560
108.702917,-26.772778,3.850,-0.170
108.712917,-27.038056,5.580,1.220
109.632917,49.465000,5.050,0.080
108.929583,-10.583889,5.950,1.180
109.509167,40.883333,5.780,0.170
108.008333,-63.190000,6.020,-0.020
108.947917,-23.740556,6.320,0.000
108.837500,-30.686389,5.360,-0.170
109.517083,30.955833,6.240,-0.030
109.060417,-15.585833,5.460,0.080
108.737917,-41.425833,5.940,-0.160
109.324167,6.680556,6.650,-0.110
108.691250,-46.849722,5.720,-0.110
108.659167,-48.271667,4.760,-0.100
109.523333,16.540278,3.580,0.110
109.153333,-23.315556,4.790,1.710
109.382083,-6.680000,6.290,1.620
109.145833,-27.881111,4.640,1.600
108.837500,-52.499722,5.970,1.100
109.238333,-30.896667,6.320,0.200
109.132500,-38.318889,5.800,-0.130
109.206250,-36.592778,5.030,-0.170
109.064583,-46.774444,5.660,1.440
110.571667,59.901944,6.350,0.000
109.285833,-37.097500,2.700,1.620
109.449583,-26.797500,6.460,-0.150
110.262917,42.655556,6.350,1.460
110.322917,45.228056,5.770,0.320
110.030833,21.982222,3.530,0.340
109.843333,2.740556,5.890,1.070
109.948333,7.142778,5.910,0.530
110.028750,15.142778,6.450,-0.020
109.667917,-24.558889,4.980,-0.150
109.676667,-24.954167,4.400,-0.150
110.712083,55.284444,6.530,0.000
110.717083,55.281389,5.450,0.000
109.758333,-19.280278,6.090,0.620
109.713333,-26.585833,5.280,0.960
109.576667,-36.734167,4.660,-0.100
109.867083,-16.395000,5.700,0.350
109.517500,-43.986667,5.850,-0.120
109.659167,-36.742778,5.110,-0.160
109.640000,-39.210278,5.250,0.010
110.555833,38.996111,6.400,1.220
110.510833,36.760556,5.130,1.080
109.807083,-33.727222,6.300,1.310
110.486667,20.443611,5.100,1.520
110.242500,-14.360000,5.450,0.980
113.665417,80.896667,6.410,0.000
110.320417,-8.878333,6.550,0.540
110.221667,-22.851667,6.610,-0.150
110.229167,-26.963611,6.010,-0.170
110.514583,0.177222,5.990,-0.070
110.267917,-25.891389,5.870,1.640
109.207500,-67.957222,3.980,0.790
111.238333,51.887222,5.800,1.610
111.035417,40.672222,5.190,1.230
110.508333,-8.979167,6.430,-0.190
110.577083,-2.978889,6.230,0.680
110.868750,25.050556,5.030,0.900
111.857500,66.331667,6.470,-0.090
110.867500,22.945278,6.020,-0.010
110.605833,-5.982778,5.820,0.350
110.556250,-19.016667,4.960,-0.040
110.089167,-52.311667,6.050,0.420
110.090417,-52.309722,6.600,0.590
110.161250,-52.086111,5.390,-0.070
111.139167,27.638056,5.760,0.340
111.115417,15.517222,6.410,-0.180
111.678333,49.211389,4.640,-0.020
110.752500,-31.923889,5.430,-0.150
111.242500,11.669722,5.300,0.100
111.431667,27.798056,3.790,1.030
110.871250,-27.834167,5.380,1.530
110.882917,-32.202222,5.390,-0.180
110.976250,-30.216944,6.600,-0.200
111.167083,-16.201111,5.330,-0.050
111.071667,-22.912778,6.190,-0.090
111.023750,-29.303056,2.450,-0.080
111.412083,9.276111,4.990,1.010
110.992917,-35.837778,6.310,-0.150
112.719583,68.465556,5.640,1.110
111.211250,-19.012222,6.240,0.290
111.284583,-13.751944,5.780,0.420
111.462500,-5.775000,5.970,0.920
111.182500,-31.808889,5.350,1.070
111.709167,21.535833,6.540,0.460
111.616250,10.608333,6.370,0.090
111.734583,20.257222,5.930,0.300
111.514583,-4.537500,6.760,-0.010
111.332917,-21.982778,6.050,0.230
111.672083,11.009167,6.410,-0.130
111.355417,-25.217778,5.780,-0.100
111.196667,-37.290000,6.970,0.220
111.197083,-37.290833,6.840,0.270
112.215000,48.183889,5.720,-0.100
111.787500,8.289444,2.900,-0.090
111.935000,21.445000,5.220,0.390
111.429167,-31.738611,6.310,-0.170
101.744583,-87.025000,6.470,0.420
112.483333,49.672500,5.360,0.450
111.669583,-23.712222,6.560,0.010
112.008750,6.941944,5.250,0.220
112.277917,31.784444,4.180,0.320
111.783333,-17.864444,5.630,0.320
112.040833,8.925556,4.320,1.430
111.747500,-23.086111,5.610,-0.130
111.676250,-34.140833,5.900,-0.170
112.335000,28.118056,5.050,0.110
112.197083,15.109444,6.220,-0.050
111.965417,-11.556944,5.790,0.580
111.928750,-22.859722,5.950,-0.090
112.452917,27.916111,5.010,1.110
111.591250,-51.018333,5.100,1.060
111.996667,-29.155833,5.540,-0.080
112.449167,12.006667,4.540,1.280
112.327917,-1.905278,5.590,1.500
112.357083,-7.551111,5.860,0.480
112.342083,-10.326667,5.750,1.620
112.341250,-14.999167,6.050,0.470
112.095000,-37.810278,6.580,0.060
112.213750,-31.848333,6.380,-0.170
112.214583,-31.846944,7.130,-0.150
112.982083,38.896389,6.540,0.070
112.270417,-31.456389,5.770,-0.190
112.464167,-23.024444,4.850,0.230
112.273750,-38.812222,5.430,-0.160
112.712917,-5.226389,6.240,1.180
112.951667,17.086111,5.420,1.130
112.307500,-43.301389,3.250,1.510
113.210833,22.887778,6.540,1.010
113.024583,1.914444,5.250,0.220
112.677083,-30.962222,4.650,0.930
112.676667,-37.339722,6.650,0.630
113.024167,-8.880833,5.900,0.540
112.498333,-52.651111,5.870,1.010
112.857500,-36.152778,6.680,-0.120
113.402083,15.826667,5.250,0.050
113.298333,3.290278,5.590,0.310
112.213750,-64.510000,6.390,1.560
112.928333,-35.887778,6.610,-0.080
113.650000,31.888611,2.880,0.040
113.650000,31.888333,1.980,0.030
112.628750,-54.399444,5.960,1.560
113.521250,10.568333,6.280,-0.010
114.195833,55.755278,5.920,1.120
113.092917,-35.961389,6.300,-0.100
113.786250,30.961111,5.330,1.010
113.342083,-14.338333,6.210,-0.040
113.983333,43.031111,6.300,0.000
113.331250,-19.412500,5.660,1.120
113.290417,-24.710833,5.850,0.170
113.565833,3.371389,5.810,-0.020
113.449583,-14.523889,4.970,1.410
114.131667,46.180278,5.650,1.560
113.691667,2.725000,6.550,0.220
113.980417,26.895833,4.060,1.540
113.513333,-22.296111,4.450,0.510
113.306250,-40.058889,6.260,-0.120
113.305417,-43.086389,6.520,0.920
113.577500,-23.473611,5.830,0.440
113.579583,-23.474722,5.870,0.000
113.462500,-36.338333,5.540,-0.060
113.620000,-26.116667,6.650,-0.010
113.553333,-33.463333,6.110,0.290
114.474583,48.773611,5.920,0.220
114.324167,40.025278,6.380,0.000
113.645417,-27.011944,5.770,1.060
113.493750,-39.905833,6.760,1.130
114.144583,5.861667,5.910,0.600
111.408333,-79.094167,5.530,1.280
114.069167,-8.311389,6.270,1.540
114.016250,-14.492778,5.700,-0.120
113.845000,-28.369444,4.640,-0.110
114.032500,-22.160556,6.340,0.990
114.636667,35.048611,5.560,0.930
113.664583,-51.474722,6.280,0.080
114.560417,24.360278,6.270,0.000
114.319583,-4.111111,5.130,0.440
114.170833,-19.702222,5.740,-0.190
115.206250,57.082778,6.060,1.460
114.791250,34.584167,4.900,0.400
114.799583,24.222500,6.170,0.010
114.412083,-14.441111,6.530,-0.010
114.320000,-23.775000,6.370,0.540
113.915417,-52.533889,4.940,1.400
115.060833,38.344444,5.730,1.630
114.975417,32.009722,6.170,0.350
114.342083,-34.968611,4.530,-0.090
114.869167,17.674722,5.050,1.560
115.301667,48.131667,5.560,1.010
114.182917,-48.830278,5.720,-0.060
114.007083,-55.887500,6.390,1.180
114.436667,-35.277222,6.600,1.140
114.825417,5.225000,0.380,0.420
114.575000,-25.364722,4.700,-0.110
114.438333,-38.010556,6.380,1.480
115.751667,58.710278,4.990,0.080
114.779583,-18.679167,6.720,-0.100
114.705417,-26.801667,4.500,-0.170
114.707500,-26.803611,4.620,0.000
115.029167,5.230833,6.020,-0.040
115.243750,23.018611,5.890,1.580
114.600833,-39.991389,6.590,-0.050
115.197083,13.770833,6.240,0.000
114.682917,-36.496944,5.800,-0.160
114.635833,-38.781111,6.190,1.020
114.862083,-26.863056,6.500,-0.100
114.575833,-48.601111,5.680,0.650
115.147917,-8.185833,6.010,0.150
115.096667,-15.263611,4.940,1.560
115.056667,-19.660833,5.930,1.160
114.864167,-38.308333,4.840,-0.190
115.681250,34.000278,6.020,0.000
114.932500,-38.139444,5.730,-0.120
114.949167,-38.260833,5.760,-0.070
115.465833,13.480556,5.770,1.670
115.396667,3.624722,5.940,-0.040
115.513333,14.208333,5.560,1.640
114.991667,-37.579444,6.000,-0.040
116.017500,50.433889,5.270,0.000
115.311667,-9.551111,3.930,1.020
114.751667,-53.273333,6.060,-0.110
115.180833,-27.945833,6.760,-0.160
115.827917,28.883611,4.280,1.120
115.219583,-31.660833,6.560,1.180
116.667083,65.455833,5.920,1.180
115.348333,-22.337222,6.180,1.620
116.614167,62.830556,6.490,0.260
115.842500,22.399444,6.210,0.930
113.840417,-74.275556,7.160,-0.020
113.840833,-74.275556,7.260,0.000
115.315833,-38.533611,5.420,-0.150
115.772500,0.189444,6.190,1.020
116.028750,25.784167,5.310,1.540
115.340833,-44.632222,6.410,0.000
116.111667,24.398056,3.570,0.930
115.491667,-38.528889,6.540,-0.090
116.058333,12.859444,6.430,0.000
115.700417,-26.351111,5.640,0.990
116.030833,2.405000,6.470,0.200
116.328750,28.026111,1.140,1.000
116.288750,20.316389,6.330,0.000
115.912917,-25.503889,6.550,0.060
115.885000,-28.411111,4.590,1.630
115.800000,-36.050278,5.600,-0.130
115.779167,-38.864167,6.890,1.020
115.952083,-28.954722,3.960,0.180
119.072083,80.265556,6.560,0.730
115.738333,-45.173333,5.060,0.780
116.663750,37.517500,5.180,1.580
114.017500,-77.634167,6.180,1.730
115.928750,-38.201944,6.400,-0.160
115.924583,-40.933889,5.170,1.100
116.530833,18.510000,4.880,1.450
116.141667,-24.673889,5.620,-0.190
115.778750,-49.992778,6.570,0.070
115.542500,-58.630833,6.430,-0.100
116.040000,-36.062778,5.800,0.310
116.567500,10.768333,5.300,0.010
116.369583,-14.686111,6.890,0.000
116.371250,-14.690833,6.070,0.110
116.142500,-37.943056,5.880,-0.110
115.722083,-58.230000,6.210,1.050
116.876250,33.415556,5.140,1.600
116.509167,-6.772500,5.490,1.380
116.487083,-14.563889,5.040,0.330
116.269167,-37.887778,6.540,-0.100
116.313750,-37.968611,3.610,1.730
116.395833,-34.173056,5.370,0.600
116.687083,-12.675278,6.390,-0.020
116.325417,-43.752222,6.030,-0.070
117.140000,23.141111,6.180,0.000
116.543333,-37.933889,5.880,-0.110
116.802083,-22.519722,5.900,-0.190
115.455000,-72.606111,3.950,1.040
116.639167,-40.059722,6.570,-0.130
116.910417,-15.990833,6.340,1.780
116.938333,-16.014444,6.430,1.700
117.773750,54.129167,6.020,0.460
116.986250,-12.193056,5.480,0.480
117.258333,13.370833,6.040,1.380
116.398333,-56.722500,6.120,0.390
116.774167,-39.331389,6.310,-0.170
117.245417,4.332778,6.530,0.780
117.021667,-25.937222,4.500,-0.050
116.854167,-38.511111,5.080,-0.100
116.182917,-66.071944,6.380,0.950
116.881250,-46.608611,5.230,-0.140
116.054167,-69.821389,6.180,-0.060
118.152500,55.209444,6.380,0.000
117.759583,33.233611,6.030,0.150
117.035417,-40.652222,6.140,1.580
117.369167,-13.353333,6.230,-0.090
117.257083,-24.912222,5.330,0.760
117.421667,-17.228333,5.180,1.280
117.323750,-24.859722,3.340,1.240
117.084583,-47.077778,4.710,1.060
117.544167,-9.183333,5.610,1.440
117.438333,-20.206944,6.560,0.580
117.311250,-35.243333,5.930,-0.050
117.697500,3.277222,6.180,1.120
117.523750,-19.523611,6.120,1.260
117.397500,-33.288889,5.600,1.610
117.986250,19.325278,5.990,1.130
117.730000,-11.128611,6.160,1.130
117.309583,-46.373333,4.110,-0.180
117.080000,-56.471111,6.330,1.010
117.367500,-44.751944,6.320,0.960
117.303750,-46.857778,5.840,-0.140
117.925000,1.766944,5.140,-0.120
117.750000,-24.528333,6.450,-0.010
118.030000,3.277222,6.310,1.590
117.277917,-56.410556,5.590,1.130
117.920417,-12.819444,6.360,0.390
117.942917,-13.898056,5.170,0.600
118.622083,47.386111,6.250,1.150
118.677917,47.564722,5.450,1.460
118.374167,26.765833,4.970,0.090
117.928750,-21.173889,5.630,0.960
117.676667,-44.579722,6.450,0.900
117.303750,-60.283611,5.780,0.420
117.599583,-50.509722,5.910,1.090
118.199583,-5.428056,5.760,0.410
118.078750,-14.846389,5.690,0.370
117.835417,-43.095556,6.320,-0.170
120.048750,73.918056,5.410,1.420
117.478333,-60.051111,6.720,1.240
119.111667,56.504444,6.720,0.000
117.917917,-42.888333,6.040,-0.180
118.065417,-34.705278,5.010,0.440
118.054167,-40.575833,3.730,1.040
117.420833,-66.195833,5.790,-0.040
121.196250,79.479722,5.420,-0.060
118.920000,35.412778,6.230,0.280
118.161250,-38.863056,4.490,-0.190
118.264583,-36.363889,5.430,1.160
118.916250,19.883889,5.350,-0.040
118.880833,8.862778,5.860,0.350
118.123750,-54.367222,5.700,-0.150
118.265417,-49.613056,4.630,-0.230
118.325833,-48.103056,4.240,-0.140
118.545833,-35.877500,5.490,-0.190
118.666250,-34.846944,6.150,1.530
119.099583,4.485833,6.170,0.980
119.569167,43.977500,6.340,1.060
119.247500,15.790278,5.780,1.280
118.807083,-30.917500,6.440,0.000
119.316250,8.641389,6.050,1.000
119.317500,1.126944,6.350,0.500
119.095000,-30.285278,6.330,1.660
118.752083,-52.583056,6.380,-0.010
118.943750,-43.845000,6.020,-0.110
119.214583,-22.880000,4.200,0.720
119.524167,7.213611,6.410,-0.040
119.631250,16.518611,5.990,1.470
118.721667,-57.303056,5.630,1.300
120.336250,59.047500,5.770,0.390
119.101250,-40.736389,6.780,-0.180
124.224167,84.057778,6.490,0.030
120.426667,60.324444,6.010,0.140
119.585833,2.224722,5.290,0.920
119.241250,-42.406111,6.090,1.360
120.628333,63.090278,6.400,0.590
119.417083,-30.334722,4.790,0.150
119.241250,-43.500278,5.350,-0.180
119.896250,13.242222,6.020,1.320
119.326667,-44.109722,5.090,-0.170
119.194583,-52.982222,3.470,-0.180
119.333333,-47.890278,6.220,-0.100
120.649167,57.273611,6.490,0.620
119.077500,-60.526389,5.740,1.550
119.465833,-45.577778,5.170,1.270
119.933750,-3.679722,4.930,1.210
119.773750,-23.310556,5.110,1.120
120.232917,25.392778,5.830,1.020
120.200000,19.816111,6.250,1.110
119.211250,-59.126389,6.250,2.080
120.252917,23.583056,6.340,0.000
120.197083,17.308611,5.550,1.320
119.560000,-49.245000,4.410,-0.170
120.479583,35.413056,6.340,1.560
119.966667,-18.399167,4.610,0.080
120.432500,25.089722,6.310,0.010
119.589167,-51.448611,6.440,0.250
120.376250,16.455278,5.990,-0.020
120.183750,-2.881667,6.510,-0.070
120.307500,4.879722,5.650,0.000
119.757500,-45.216111,5.990,-0.140
119.445417,-60.303333,5.600,0.570
119.302083,-63.296944,6.140,-0.100
119.868333,-39.297222,5.240,0.390
120.305417,-1.392500,4.680,1.490
119.801250,-49.976667,6.320,0.000
119.805833,-49.973611,6.340,0.000
120.461250,8.913889,6.220,0.570
120.566250,2.334444,4.390,1.250
120.081667,-45.456944,6.610,1.270
119.710417,-60.824444,5.810,-0.090
120.062083,-48.981389,6.020,0.040
120.879583,27.794167,4.940,1.120
120.608333,-6.337222,6.330,0.620
120.120417,-48.871389,6.120,-0.110
119.917500,-60.207500,6.330,-0.060
119.906667,-60.586944,5.170,1.740
120.405833,-37.283611,5.950,0.140
120.525833,-37.050556,6.340,1.620
120.207917,-54.151389,5.870,-0.140
120.345417,-54.515000,6.100,-0.040
121.188333,18.842222,6.150,-0.050
120.083333,-63.567500,4.820,-0.170
120.767083,-32.463889,5.820,1.220
120.381250,-55.455000,6.280,-0.150
120.686667,-41.310000,5.520,-0.150
121.268750,13.118056,5.120,0.010
121.404167,27.529722,6.210,0.010
120.896250,-40.003333,2.250,-0.260
120.872917,-42.948611,6.290,1.010
121.791250,43.260278,6.260,-0.020
121.172917,-19.728056,6.130,-0.160
121.576667,22.635556,5.990,1.660
121.067500,-32.675000,5.310,1.910
119.817083,-73.244722,6.340,0.140
121.456667,-0.573611,6.410,1.050
122.114167,51.506667,4.840,0.050
121.614583,-9.245000,6.230,-0.070
122.515833,58.248056,5.930,1.390
121.940833,21.581667,5.300,0.630
121.437083,-33.569167,6.140,1.110
121.176667,-50.590556,5.950,1.210
121.335000,-46.978889,6.190,-0.150
121.266667,-53.108056,5.530,1.340
122.346250,42.430556,6.270,1.270
123.203333,68.474167,5.320,1.040
121.825000,-20.554722,5.380,0.100
122.176667,13.640833,6.270,0.430
121.885833,-24.304167,2.810,0.430
121.178750,-62.836111,6.300,-0.100
121.668333,-45.266389,5.050,1.500
122.148333,-2.983889,4.340,0.970
122.237083,-11.339722,6.320,0.010
122.181250,-20.363056,6.360,0.160
122.613333,25.507222,5.730,0.810
122.256667,-19.245000,4.400,-0.150
122.840000,38.731389,6.580,0.590
122.368750,-16.248889,5.680,-0.170
122.156667,-37.681389,6.370,-0.040
122.277917,-30.322500,6.650,1.400
126.137083,82.430833,6.320,0.010
122.745000,14.629444,6.230,0.020
122.292500,-35.455000,6.200,0.890
123.459167,56.452222,5.850,1.010
122.819167,9.821111,6.070,-0.100
122.665833,-13.799167,5.540,0.490
122.290000,-48.684444,5.700,-0.120
122.399583,-44.122778,5.210,-0.190
